# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	20166
#@/user_id	Mac
a 	啊	c=29 d=0.0857962 t=20166
ba ta 	把他	c=1 d=0.00109172 t=20166
ba ta men 	把他們	c=1 d=0.946485 t=20166
ba wo 	把握	c=1 d=0.000154549 t=20166
ba yue 	八月	c=1 d=0.000452827 t=20166
ba yue di 	八月地	c=1 d=5.53649e-16 t=20166
ba zhe ge 	把這個	c=1 d=2.3717e-13 t=20166
bai 	白	c=1 d=0.000746586 t=20166
bai du 	百度	c=2 d=5.23575e-06 t=20166
bai mao 	白貓	c=0 d=3.35634e-11 t=20166
bai mao zi 	白貓字	c=1 d=3.37316e-10 t=20166
bai nian 	拜年	c=0 d=6.98508e-16 t=20166
bai nian le 	拜年了	c=1 d=7.02009e-15 t=20166
bai se 	白色	c=1 d=0.00126207 t=20166
bai shi 	白食	c=1 d=7.22896e-07 t=20166
bai zai 	擺在	c=1 d=0.358796 t=20166
ban 	半	c=0 d=4.17288e-14 t=20166
ban 	版	c=5 d=4.23698e-09 t=20166
ban 	辦	c=0 d=1.05744e-11 t=20166
ban ben 	版本	c=8 d=0.213794 t=20166
ban ben de 	版本的	c=1 d=2.85756e-29 t=20166
ban fa 	辦法	c=3 d=0.0110251 t=20166
ban lang 	伴郎	c=1 d=1.09228e-09 t=20166
ban mian 	拌麪	c=0 d=0.000319873 t=20166
ban yi zhang 	辦一張	c=1 d=1.06274e-10 t=20166
ban zi 	班子	c=1 d=2.59329e-05 t=20166
ban zou 	搬走	c=0 d=6.6834e-26 t=20166
ban zou lo 	搬走咯	c=1 d=6.7169e-25 t=20166
bang bang 	邦邦	c=1 d=7.93003e-15 t=20166
bang bang da 	邦邦大	c=1 d=8.79142e-15 t=20166
bang ni 	幫你	c=0 d=1.62246e-18 t=20166
bang wo 	幫我	c=2 d=0.000110555 t=20166
bang zhe 	幫着	c=0 d=1.68026e-18 t=20166
bang zhe ding 	幫着盯	c=1 d=1.68868e-17 t=20166
bang zhu 	幫助	c=1 d=5.72572e-29 t=20166
bao 	保	c=2 d=1.98496e-14 t=20166
bao 	包	c=6 d=0.77494 t=20166
bao 	報	c=0 d=4.33565e-23 t=20166
bao chu lai 	報出來	c=1 d=3.25714e-10 t=20166
bao cun 	保存	c=9 d=8.06816e-05 t=20166
bao cun de 	保存的	c=2 d=1.57939e-16 t=20166
bao cun le yi xia 	保存了一下	c=1 d=3.75439e-05 t=20166
bao dao 	報道	c=2 d=1.81834e-05 t=20166
bao di 	保底	c=1 d=5.47284e-27 t=20166
bao gao 	報告	c=5 d=1.11097e-10 t=20166
bao han 	包含	c=7 d=0.00143728 t=20166
bao han le 	包含了	c=1 d=5.54026e-24 t=20166
bao he 	飽和	c=1 d=9.05454e-09 t=20166
bao hu 	保護	c=5 d=2.44641e-14 t=20166
bao jing 	報警	c=1 d=0.174645 t=20166
bao lu 	暴露	c=6 d=1.37595e-10 t=20166
bao qi lai 	包起來	c=2 d=3.1696e-13 t=20166
bao shi 	寶石	c=1 d=5.02516e-23 t=20166
bao wen ding 	保穩定	c=1 d=1.79713e-14 t=20166
bao xian 	保險	c=3 d=3.90894e-10 t=20166
bao you 	抱有	c=1 d=5.63088e-09 t=20166
bao zao 	暴躁	c=1 d=2.50188e-24 t=20166
bao zhang 	保障	c=4 d=0.00135358 t=20166
bao zhang 	暴漲	c=1 d=5.83244e-11 t=20166
bao zhuang 	包裝	c=4 d=1.88669e-07 t=20166
bei 	唄	c=10 d=0.0330708 t=20166
bei 	被	c=9 d=0.465399 t=20166
bei dai bu 	被逮捕	c=1 d=3.49272e-08 t=20166
bei fen 	備份	c=2 d=0.110839 t=20166
bei guo 	背鍋	c=1 d=3.77513e-11 t=20166
bei hou 	背後	c=1 d=4.23378e-07 t=20166
bei jin zhi 	被禁止	c=1 d=0.00416933 t=20166
bei jing 	背景	c=1 d=5.24556e-28 t=20166
bei shang 	悲傷	c=0 d=0.0980199 t=20166
bei shang de gu shi 	悲傷的故事	c=1 d=0.985112 t=20166
ben 	本	c=2 d=1.3783e-10 t=20166
ben di 	本地	c=4 d=0.0322772 t=20166
ben di wen jian 	本地文件	c=1 d=0.0147723 t=20166
ben lai 	本來	c=8 d=0.00946646 t=20166
ben lai hai shuo 	本來還說	c=1 d=4.76287e-10 t=20166
ben lai shi 	本來是	c=1 d=1.34798e-13 t=20166
ben lai shuo 	本來說	c=1 d=3.61775e-10 t=20166
ben shen 	本身	c=7 d=0.000861278 t=20166
ben shu 	本書	c=1 d=6.83723e-28 t=20166
ben zhou 	本週	c=1 d=1.22456e-16 t=20166
ben zhou nei 	本週內	c=1 d=1.12903e-16 t=20166
beng kui 	崩潰	c=3 d=5.96364e-08 t=20166
bi 	必	c=2 d=1.67992e-07 t=20166
bi 	比	c=9 d=0.592779 t=20166
bi 	筆	c=5 d=0.000356358 t=20166
bi er bu tan 	避而不谈	c=1 d=4.50952e-14 t=20166
bi fang 	比方	c=0 d=8.27241e-06 t=20166
bi huan 	閉環	c=2 d=0.00369433 t=20166
bi ji 	筆記	c=10 d=5.22094e-08 t=20166
bi ji ben 	筆記本	c=0 d=6.31263e-31 t=20166
bi ji ben le 	筆記本了	c=1 d=6.34427e-30 t=20166
bi jiao 	比較	c=3 d=6.85865e-06 t=20166
bi jing 	畢竟	c=2 d=8.53741e-23 t=20166
bi li 	比例	c=3 d=1.50032e-08 t=20166
bi lv 	比率	c=3 d=0.000284826 t=20166
bi mian 	避免	c=4 d=0.000319102 t=20166
bi qi lai 	比起來	c=1 d=2.35658e-26 t=20166
bi ran 	必然	c=3 d=2.9113e-05 t=20166
bi ru 	比如	c=12 d=0.0234712 t=20166
bi xu 	必須	c=8 d=0.907374 t=20166
bi xu yao kao lv 	必須要考慮	c=1 d=9.96707e-21 t=20166
bi xu yong 	必須用	c=1 d=4.7293e-15 t=20166
bi yao 	必要	c=3 d=1.01826e-07 t=20166
bi yu 	比喻	c=0 d=3.87808e-05 t=20166
bi zhe ge hao 	比這個好	c=1 d=1.71951e-24 t=20166
bi zhong 	比重	c=2 d=0.00285309 t=20166
bi zuo tian shao 	比昨天少	c=1 d=0.000126534 t=20166
bian 	便	c=1 d=0.00047843 t=20166
bian 	變	c=1 d=0.00339653 t=20166
bian 	邊	c=1 d=2.08329e-17 t=20166
bian cheng 	編程	c=1 d=3.66169e-05 t=20166
bian cheng 	變成	c=2 d=0.301194 t=20166
bian cheng le 	變成了	c=1 d=2.54193e-05 t=20166
bian ge 	變革	c=1 d=3.57189e-07 t=20166
bian geng 	變更	c=2 d=8.03347e-13 t=20166
bian hua 	變化	c=0 d=1.63287e-05 t=20166
bian ji 	編輯	c=1 d=5.87785e-14 t=20166
bian ji qi 	編輯器	c=1 d=1.35055e-06 t=20166
bian jie 	便捷	c=1 d=0.000724521 t=20166
bian jie 	邊界	c=2 d=1.56506e-05 t=20166
bian li 	便利	c=1 d=1.67045e-07 t=20166
bian liang 	變量	c=6 d=9.75642e-05 t=20166
bian ma 	編碼	c=1 d=0.965605 t=20166
bian pai 	編排	c=1 d=3.08924e-05 t=20166
bian yi 	編譯	c=1 d=0.00286554 t=20166
bian yuan 	邊緣	c=2 d=1.47506e-07 t=20166
biang biang mian 	𰻞𰻞麪	c=1 d=5.11883e-05 t=20166
biao 	表	c=6 d=0.000164349 t=20166
biao da 	表達	c=1 d=0.000257379 t=20166
biao da de hao 	表達的好	c=2 d=9.101e-16 t=20166
biao da hao 	表達好	c=1 d=1.15962e-07 t=20166
biao da shi 	表達式	c=1 d=1.57993e-28 t=20166
biao di 	表弟	c=2 d=9.363e-13 t=20166
biao mian 	表面	c=1 d=0.0185444 t=20166
biao qian 	標籤	c=8 d=0.00208312 t=20166
biao qing 	表情	c=0 d=2.54808e-05 t=20166
biao qing bao 	表情包	c=1 d=0.000256085 t=20166
biao sheng 	飆升	c=1 d=2.40501e-30 t=20166
biao shi 	標識	c=1 d=1.04674e-08 t=20166
biao shi 	表示	c=10 d=0.00523301 t=20166
biao ti 	標題	c=2 d=9.40133e-10 t=20166
biao wei 	標爲	c=1 d=3.60093e-14 t=20166
biao xian 	表現	c=1 d=0.000169103 t=20166
biao yang 	表揚	c=1 d=3.53323e-26 t=20166
biao zhun 	標準	c=3 d=1.20833e-11 t=20166
biao zhun hua 	標準化	c=1 d=3.34653e-05 t=20166
bie 	別	c=1 d=7.82546e-28 t=20166
bie de 	別的	c=2 d=0.000108366 t=20166
bie huang 	別慌	c=1 d=0.0485578 t=20166
bie ren 	別人	c=4 d=0.000513354 t=20166
bie shuo 	別說	c=0 d=4.0446e-29 t=20166
bie shuo pai cuo le 	別說排錯了	c=1 d=4.06487e-28 t=20166
bing 	並	c=12 d=0.406555 t=20166
bing 	冰	c=1 d=7.11142e-20 t=20166
bing bu 	並不	c=0 d=0.00372538 t=20166
bing bu ji suan 	並不計算	c=1 d=3.20037e-09 t=20166
bing bu neng 	並不能	c=3 d=3.31678e-08 t=20166
bing bu shi 	並不是	c=2 d=0.156453 t=20166
bing bu suan 	並不算	c=1 d=3.07436e-07 t=20166
bing bu xu yao 	並不需要	c=1 d=0.0374406 t=20166
bing fa 	併發	c=7 d=3.78664e-10 t=20166
bing fa shu 	併發數	c=2 d=6.37845e-05 t=20166
bing mei you 	並沒有	c=3 d=1.35886 t=20166
bing qie 	並且	c=5 d=1.65278 t=20166
bing wei 	並未	c=1 d=0.185444 t=20166
bing xiang 	冰箱	c=1 d=2.74271e-17 t=20166
bing xiang li 	冰箱裏	c=0 d=7.54089e-05 t=20166
bing xing 	並行	c=2 d=0.0239967 t=20166
bo chu 	播出	c=1 d=3.98858e-11 t=20166
bo ke wen zhang 	博客文章	c=1 d=0.496585 t=20166
bo li 	波利	c=0 d=5.65026e-21 t=20166
bo li ya 	波利亞	c=1 d=5.67858e-20 t=20166
bo zhu 	博主	c=1 d=0.103312 t=20166
bu 	不	c=34 d=0.277015 t=20166
bu 	步	c=3 d=1.00331e-16 t=20166
bu ai 	不愛	c=0 d=0.013332 t=20166
bu bao han 	不包含	c=1 d=1.22686e-23 t=20166
bu bi yao de 	不必要的	c=1 d=1.9043e-19 t=20166
bu bian 	不便	c=0 d=1.54202e-08 t=20166
bu bian li 	不便理	c=1 d=1.54975e-07 t=20166
bu bu 	補補	c=1 d=7.90975e-07 t=20166
bu bu bu 	不不不	c=1 d=3.8954e-27 t=20166
bu chang 	補償	c=1 d=1.13138e-11 t=20166
bu chi 	不恥	c=0 d=4.00994e-16 t=20166
bu chu lai 	不出來	c=1 d=0.486752 t=20166
bu chu wen ti 	不出問題	c=1 d=0.155673 t=20166
bu cui ni 	不摧你	c=1 d=1.25642e-09 t=20166
bu cuo 	不錯	c=1 d=1.42003e-08 t=20166
bu cuo de 	不錯的	c=1 d=6.5987e-22 t=20166
bu da 	不大	c=3 d=8.72924e-11 t=20166
bu da 	不打	c=1 d=5.16533e-27 t=20166
bu dao 	不到	c=3 d=0.989903 t=20166
bu de 	不得	c=1 d=4.87001e-07 t=20166
bu diao 	不掉	c=0 d=0.00151463 t=20166
bu dou shi 	不都是	c=2 d=8.72081e-30 t=20166
bu dui 	不對	c=5 d=0.11261 t=20166
bu dui ba 	不對吧	c=1 d=5.30116e-05 t=20166
bu duo 	不多	c=1 d=0.000590229 t=20166
bu fen 	部分	c=3 d=0.000158844 t=20166
bu gan 	不幹	c=1 d=1.78847e-16 t=20166
bu gan 	不敢	c=1 d=6.2628e-25 t=20166
bu gao 	不搞	c=1 d=9.34777e-31 t=20166
bu gou 	不夠	c=1 d=6.02255e-07 t=20166
bu guan 	不管	c=2 d=0.000403635 t=20166
bu guan le 	不管了	c=1 d=1.32309e-29 t=20166
bu guan ta le 	不管他了	c=1 d=2.29488e-08 t=20166
bu guo 	不過	c=23 d=0.0243091 t=20166
bu hao 	不好	c=3 d=9.56323e-05 t=20166
bu hao yi si 	不好意思	c=1 d=2.21557e-06 t=20166
bu he shi 	不合適	c=1 d=5.06789e-05 t=20166
bu hui 	不回	c=2 d=0.037389 t=20166
bu hui 	不會	c=4 d=0.0898153 t=20166
bu hui pian ren 	不會騙人	c=1 d=8.75353e-23 t=20166
bu hui tong bu 	不會同步	c=1 d=0.000854495 t=20166
bu huo 	捕獲	c=1 d=1.65012e-10 t=20166
bu jian 	部件	c=1 d=8.56707e-05 t=20166
bu jie yi 	不介意	c=0 d=1.5099e-25 t=20166
bu jiu 	不久	c=1 d=1.20072e-05 t=20166
bu jiu shi 	不就是	c=1 d=5.88805e-05 t=20166
bu jiu wan le 	不就完了	c=1 d=3.45914e-12 t=20166
bu jiu xing le 	不就行了	c=2 d=4.21275e-12 t=20166
bu ju pa 	不懼怕	c=1 d=7.93427e-14 t=20166
bu jue de 	不覺得	c=1 d=6.7985e-20 t=20166
bu kai 	不開	c=0 d=7.43495e-15 t=20166
bu kan le 	不看了	c=1 d=0.0987662 t=20166
bu ke 	不可	c=0 d=2.24241e-31 t=20166
bu ke kong 	不可控	c=1 d=2.25365e-30 t=20166
bu ke xin 	不可信	c=1 d=7.26396e-06 t=20166
bu li jie 	不理解	c=2 d=7.94804e-05 t=20166
bu li ta 	不理他	c=0 d=1.00621e-15 t=20166
bu li ta le 	不理他了	c=1 d=1.01125e-14 t=20166
bu lian xu 	不連續	c=2 d=2.96252e-25 t=20166
bu liao 	不了	c=1 d=0.00918669 t=20166
bu mai 	不買	c=0 d=8.98306e-05 t=20166
bu mai de ren 	不買的人	c=1 d=2.17244e-10 t=20166
bu mai dian qian 	不買點錢	c=1 d=1.21321e-09 t=20166
bu man 	不慢	c=1 d=8.87373e-07 t=20166
bu mang 	不忙	c=1 d=1.3318e-18 t=20166
bu men 	部門	c=10 d=5.23406e-06 t=20166
bu men li hui 	部門例會	c=3 d=1.80491e-06 t=20166
bu ming bai 	不明白	c=1 d=6.60565e-05 t=20166
bu ming xian 	不明顯	c=1 d=2.76171e-10 t=20166
bu nai yong 	不耐用	c=1 d=9.61607e-11 t=20166
bu neng 	不能	c=9 d=0.633083 t=20166
bu nong le 	不弄了	c=1 d=2.16904e-21 t=20166
bu pi pei 	不匹配	c=1 d=3.18214e-30 t=20166
bu pian yi 	不便宜	c=1 d=8.0636e-25 t=20166
bu pian yi o 	不便宜哦	c=1 d=1.45797e-24 t=20166
bu qie 	不切	c=1 d=1.99575e-12 t=20166
bu qu le 	不去了	c=1 d=4.41332e-25 t=20166
bu quan 	不全	c=3 d=6.30297e-12 t=20166
bu quan 	補全	c=0 d=1.3199e-31 t=20166
bu quan le 	補全了	c=1 d=1.32651e-30 t=20166
bu ran 	不然	c=7 d=0.909373 t=20166
bu ren shi 	不認識	c=1 d=2.62381e-25 t=20166
bu ren wei 	不認爲	c=1 d=1.65383e-07 t=20166
bu rong yi 	不容易	c=2 d=5.81361e-24 t=20166
bu ru 	不如	c=5 d=0.00453922 t=20166
bu shi 	不是	c=48 d=1.21825 t=20166
bu shi wo men 	不是我們	c=1 d=2.8044e-14 t=20166
bu shi zhe yang 	不是這樣	c=1 d=1.12573e-11 t=20166
bu shu 	部署	c=15 d=3.55539 t=20166
bu shu de 	部署的	c=1 d=0.316637 t=20166
bu shun li 	不順利	c=1 d=0.0116203 t=20166
bu suan 	不酸	c=1 d=1.05561e-19 t=20166
bu tai 	不太	c=4 d=0.0603841 t=20166
bu tai dui 	不太對	c=1 d=1.05217e-10 t=20166
bu tai ke neng 	不太可能	c=1 d=1.53459e-09 t=20166
bu tai zhi dao 	不太知道	c=2 d=0.00139606 t=20166
bu ti 	不提	c=1 d=1.85634e-13 t=20166
bu ting 	不停	c=0 d=0.0162026 t=20166
bu tong 	不同	c=22 d=0.152601 t=20166
bu tong de 	不同的	c=8 d=0.00861421 t=20166
bu wan 	不完	c=1 d=6.65821e-10 t=20166
bu xian zhi 	不限制	c=1 d=3.91906e-10 t=20166
bu xiang 	不像	c=3 d=0.010889 t=20166
bu xiao 	不小	c=1 d=5.43056e-24 t=20166
bu xing 	不行	c=7 d=0.489192 t=20166
bu xu 	不許	c=1 d=8.76574e-10 t=20166
bu xu yao 	不需要	c=3 d=1.72103e-05 t=20166
bu xu yao 	補虛藥	c=1 d=8.58312e-27 t=20166
bu yao 	不要	c=3 d=0.0153752 t=20166
bu yi ding 	不一定	c=2 d=3.83154e-09 t=20166
bu yi yang 	不一樣	c=1 d=2.12393e-09 t=20166
bu yi ying 	不一應	c=1 d=1.2178e-24 t=20166
bu ying gai 	不應該	c=1 d=1.80927e-05 t=20166
bu yong 	不用	c=4 d=4.4279e-05 t=20166
bu yuan yi 	不願意	c=3 d=7.39535e-10 t=20166
bu zai le 	不在了	c=1 d=0.0824965 t=20166
bu zhan guo 	不粘鍋	c=4 d=8.52524e-22 t=20166
bu zhao ji 	不着急	c=1 d=1.03418e-13 t=20166
bu zheng 	不爭	c=1 d=2.35298e-08 t=20166
bu zhi dao 	不知道	c=23 d=0.159408 t=20166
bu zhi dao yao bu yao 	不知道要不要	c=1 d=1.49849e-23 t=20166
bu zhong yao 	不重要	c=2 d=5.99455e-10 t=20166
bu zhou 	步驟	c=10 d=0.903892 t=20166
bu zhun 	不准	c=1 d=1.35755e-08 t=20166
bu zhun que 	不準確	c=2 d=5.0742e-13 t=20166
ca chu 	擦除	c=2 d=0.184236 t=20166
cai 	才	c=16 d=0.744599 t=20166
cai 	採	c=1 d=9.49587e-19 t=20166
cai 	菜	c=1 d=2.06895e-24 t=20166
cai ce 	猜測	c=1 d=1.60299e-22 t=20166
cai ji 	採集	c=26 d=0.090125 t=20166
cai ji dao 	採集到	c=4 d=1.93865e-08 t=20166
cai ji de 	採集的	c=5 d=1.73025e-09 t=20166
cai kan jian 	才看見	c=1 d=3.82295e-12 t=20166
cai kao lv 	才考慮	c=1 d=5.18719e-14 t=20166
cai liao 	材料	c=13 d=0.00634886 t=20166
cai neng 	才能	c=4 d=0.0124007 t=20166
cai neng zuo dao 	才能做到	c=1 d=1.02902e-13 t=20166
cai pian yi a 	才便宜啊	c=1 d=1.25599e-05 t=20166
cai shi 	纔是	c=3 d=4.44975e-06 t=20166
cai shu ju 	採數據	c=1 d=8.36551e-19 t=20166
cai xiang 	猜想	c=3 d=7.27358e-23 t=20166
cai xing 	才行	c=1 d=2.76839e-09 t=20166
cai you 	採油	c=1 d=0.000199439 t=20166
cai zhi 	材質	c=1 d=2.14228e-22 t=20166
can cha 	殘差	c=1 d=4.74477e-24 t=20166
can he 	餐盒	c=0 d=1.23792e-12 t=20166
can he fei 	餐盒費	c=1 d=1.24413e-11 t=20166
can jia 	參加	c=2 d=9.23588e-07 t=20166
can kao 	參考	c=1 d=9.1174e-14 t=20166
can kao de 	參考的	c=1 d=2.6306e-26 t=20166
can kao le 	參考了	c=1 d=6.01211e-15 t=20166
can kao xi 	參考系	c=1 d=7.55502e-26 t=20166
can shu 	參數	c=4 d=0.00976163 t=20166
can yin 	餐飲	c=1 d=1.00447e-23 t=20166
can yu 	參與	c=0 d=6.64127e-10 t=20166
cang ku 	倉庫	c=1 d=0.0125254 t=20166
cang qiong 	蒼穹	c=1 d=2.74458e-25 t=20166
cao 	草	c=3 d=9.72381e-11 t=20166
cao zuo 	操作	c=3 d=0.00402593 t=20166
ce 	測	c=5 d=0.0120678 t=20166
ce ce 	測測	c=1 d=1.35239e-22 t=20166
ce chu 	測出	c=1 d=5.67472e-12 t=20166
ce de 	測得	c=1 d=0.00394621 t=20166
ce le yi lun 	測了一輪	c=2 d=5.62811e-22 t=20166
ce liang 	測量	c=11 d=8.35555e-05 t=20166
ce lue 	策略	c=3 d=7.62209e-06 t=20166
ce lv 	測率	c=1 d=7.57998e-06 t=20166
ce mian 	側面	c=1 d=3.5571e-17 t=20166
ce shi 	測試	c=55 d=0.581407 t=20166
ce shi bao gao 	測試報告	c=1 d=4.79914e-11 t=20166
ce shi de 	測試的	c=2 d=4.26519e-15 t=20166
ce shi ji 	測試集	c=2 d=4.33085e-22 t=20166
ce shi jie guo 	測試結果	c=2 d=3.19399e-22 t=20166
ce shi le 	測試了	c=2 d=0.00701293 t=20166
ce shi tuan dui 	測試團隊	c=1 d=1.23536e-16 t=20166
ce suan 	測算	c=3 d=0.00265848 t=20166
ce suo 	廁所	c=1 d=8.50523e-08 t=20166
ce yan 	測驗	c=1 d=5.57296e-05 t=20166
ce yi xia 	測一下	c=1 d=0.00379148 t=20166
ceng 	層	c=2 d=0.00172074 t=20166
ceng ci 	層次	c=1 d=0.970446 t=20166
ceng mian 	層面	c=1 d=1.37474e-09 t=20166
cha 	差	c=0 d=4.77439e-10 t=20166
cha 	茶	c=2 d=0.0632918 t=20166
cha bie 	差別	c=5 d=3.01126e-10 t=20166
cha bu duo 	差不多	c=13 d=0.166466 t=20166
cha bu tai duo 	差不太多	c=1 d=2.49584e-25 t=20166
cha cuo 	差錯	c=0 d=1.17591e-25 t=20166
cha dao 	查到	c=1 d=5.41101e-11 t=20166
cha de 	差得	c=1 d=5.49372e-13 t=20166
cha de duo 	差得多	c=1 d=3.8236e-14 t=20166
cha dian er 	差點兒	c=0 d=6.59757e-21 t=20166
cha dian er wei dao 	差點兒味道	c=1 d=6.63064e-20 t=20166
cha ji ge 	差幾個	c=1 d=4.79832e-09 t=20166
cha jian 	插件	c=6 d=0.00178203 t=20166
cha ju 	差距	c=1 d=2.99703e-05 t=20166
cha kan 	查看	c=3 d=0.0231676 t=20166
cha ru 	插入	c=1 d=3.04428e-09 t=20166
cha xue 	茶學	c=1 d=1.41464e-22 t=20166
cha xun 	查詢	c=8 d=0.235696 t=20166
cha yi 	差異	c=2 d=1.12361e-20 t=20166
cha zhang 	查賬	c=1 d=0.00151098 t=20166
cha zhi 	差值	c=1 d=7.66137e-14 t=20166
chai 	拆	c=0 d=2.04871e-27 t=20166
chai huo 	柴火	c=0 d=4.87001e-08 t=20166
chai jie 	拆解	c=1 d=0.00134683 t=20166
chan 	產	c=1 d=1.45045e-22 t=20166
chan chan wei wei 	顫顫巍巍	c=1 d=2.2984e-26 t=20166
chan pin 	產品	c=9 d=0.933839 t=20166
chan sheng 	產生	c=1 d=0.537944 t=20166
chan sheng ru ci 	產生如此	c=1 d=2.5205e-23 t=20166
chan ye 	產業	c=1 d=5.53273e-08 t=20166
chang 	常	c=1 d=7.83638e-15 t=20166
chang 	長	c=2 d=2.65297e-08 t=20166
chang gui 	常規	c=1 d=2.06579e-06 t=20166
chang gui 	長跪	c=1 d=2.05548e-06 t=20166
chang he 	場合	c=1 d=1.9321e-13 t=20166
chang jian 	常見	c=4 d=0.0925761 t=20166
chang jing 	場景	c=8 d=0.000631571 t=20166
chang jing xia 	場景下	c=2 d=6.13396e-08 t=20166
chang mian 	場面	c=1 d=4.61018e-09 t=20166
chang qi 	長期	c=2 d=1.96804e-16 t=20166
chang qi zi ben 	長期資本	c=1 d=3.8794e-08 t=20166
chang sha 	長沙	c=0 d=4.71307e-05 t=20166
chang shi 	嘗試	c=5 d=0.190844 t=20166
chang shi 	常識	c=1 d=8.69034e-26 t=20166
chang shi guo 	嘗試過	c=2 d=1.70391e-05 t=20166
chang shi jian 	長時間	c=1 d=1.13157e-13 t=20166
chang shu 	常數	c=2 d=1.23431e-06 t=20166
chang yong 	常用	c=2 d=9.49743e-12 t=20166
chao 	抄	c=4 d=0.000845899 t=20166
chao 	朝	c=1 d=2.3477e-11 t=20166
chao e 	超額	c=3 d=4.87299e-14 t=20166
chao fu he 	超負荷	c=1 d=1.26642e-14 t=20166
chao gang 	超鋼	c=1 d=3.93455e-27 t=20166
chao guo 	超過	c=3 d=2.89532e-07 t=20166
chao guo yu qi 	超過預期	c=1 d=1.20818e-19 t=20166
chao ji 	超級	c=2 d=7.4684e-08 t=20166
chao song 	抄送	c=1 d=0.00194986 t=20166
chao xi 	抄襲	c=1 d=1.44547e-11 t=20166
chao zai 	超載	c=1 d=1.89874e-14 t=20166
chao zuo ye 	抄作業	c=1 d=0.000387808 t=20166
che 	扯	c=0 d=8.67409e-05 t=20166
che 	車	c=0 d=1.43998e-26 t=20166
che hui 	撤回	c=1 d=0.00400585 t=20166
che ji ba dan ne 	扯雞巴但呢	c=1 d=0.000871757 t=20166
che xiao 	撤消	c=1 d=0.00398587 t=20166
chen 	趁	c=1 d=0.0317456 t=20166
chen guo 	陳果	c=1 d=9.59615e-16 t=20166
chen nian 	陳年	c=1 d=0.000274654 t=20166
cheng 	乘	c=1 d=6.75654e-06 t=20166
cheng 	成	c=4 d=1.82566e-08 t=20166
cheng 	程	c=1 d=7.37751e-11 t=20166
cheng ben 	成本	c=7 d=0.00241755 t=20166
cheng du 	成都	c=1 d=0.00104891 t=20166
cheng du 	程度	c=7 d=1.00104 t=20166
cheng gong 	成功	c=5 d=1.12719e-08 t=20166
cheng guo 	成果	c=2 d=1.60884e-06 t=20166
cheng guo 	程过	c=1 d=9.64425e-16 t=20166
cheng hao 	乘號	c=1 d=2.50622e-15 t=20166
